architecture,uncertainty_level,n,shr_count,obr_count,wmr_count,shr_rate,obr_rate,wmr_rate
A1,all,5000,291.0,37.0,1485.0,0.0582,0.0074,0.297
A1,high,220,15.0,3.0,64.0,0.06818181818181818,0.013636363636363636,0.2909090909090909
A1,low,2450,155.0,13.0,722.0,0.06326530612244897,0.005306122448979592,0.2946938775510204
A1,medium,2330,121.0,21.0,699.0,0.05193133047210301,0.009012875536480686,0.3
A10,all,5000,93.0,134.0,1046.0,0.0186,0.0268,0.2092
A10,high,220,4.0,9.0,43.0,0.01818181818181818,0.04090909090909091,0.19545454545454546
A10,low,2450,61.0,54.0,527.0,0.02489795918367347,0.022040816326530613,0.21510204081632653
A10,medium,2330,28.0,71.0,476.0,0.01201716738197425,0.030472103004291845,0.20429184549356222
A11,all,5000,87.0,162.0,984.0,0.0174,0.0324,0.1968
A11,high,220,6.0,12.0,39.0,0.02727272727272727,0.05454545454545454,0.17727272727272728
A11,low,2450,45.0,64.0,484.0,0.018367346938775512,0.026122448979591838,0.19755102040816327
A11,medium,2330,36.0,86.0,461.0,0.015450643776824034,0.03690987124463519,0.19785407725321888
A2,all,5000,247.0,39.0,1441.0,0.0494,0.0078,0.2882
A2,high,220,10.0,1.0,58.0,0.045454545454545456,0.004545454545454545,0.2636363636363636
A2,low,2450,131.0,15.0,729.0,0.053469387755102044,0.006122448979591836,0.2975510204081633
A2,medium,2330,106.0,23.0,654.0,0.045493562231759654,0.009871244635193134,0.28068669527896994
A3,all,5000,256.0,49.0,1406.0,0.0512,0.0098,0.2812
A3,high,220,11.0,7.0,57.0,0.05,0.031818181818181815,0.2590909090909091
A3,low,2450,117.0,20.0,671.0,0.04775510204081632,0.00816326530612245,0.27387755102040817
A3,medium,2330,128.0,22.0,678.0,0.054935622317596564,0.00944206008583691,0.2909871244635193
A4,all,5000,224.0,55.0,1302.0,0.0448,0.011,0.2604
A4,high,220,8.0,5.0,59.0,0.03636363636363636,0.022727272727272728,0.2681818181818182
A4,low,2450,121.0,17.0,645.0,0.04938775510204082,0.0069387755102040816,0.26326530612244897
A4,medium,2330,95.0,33.0,598.0,0.0407725321888412,0.014163090128755365,0.25665236051502144
A5,all,5000,191.0,86.0,1229.0,0.0382,0.0172,0.2458
A5,high,220,7.0,5.0,42.0,0.031818181818181815,0.022727272727272728,0.19090909090909092
A5,low,2450,95.0,33.0,621.0,0.03877551020408163,0.013469387755102041,0.253469387755102
A5,medium,2330,89.0,48.0,566.0,0.03819742489270386,0.020600858369098713,0.2429184549356223
A6,all,5000,166.0,63.0,1141.0,0.0332,0.0126,0.2282
A6,high,220,7.0,4.0,48.0,0.031818181818181815,0.01818181818181818,0.21818181818181817
A6,low,2450,83.0,32.0,564.0,0.03387755102040816,0.013061224489795919,0.23020408163265307
A6,medium,2330,76.0,27.0,529.0,0.03261802575107296,0.011587982832618025,0.22703862660944207
A7,all,5000,142.0,89.0,1108.0,0.0284,0.0178,0.2216
A7,high,220,8.0,8.0,48.0,0.03636363636363636,0.03636363636363636,0.21818181818181817
A7,low,2450,77.0,29.0,534.0,0.03142857142857143,0.01183673469387755,0.2179591836734694
A7,medium,2330,57.0,52.0,526.0,0.024463519313304722,0.022317596566523604,0.2257510729613734
A8,all,5000,149.0,124.0,1134.0,0.0298,0.0248,0.2268
A8,high,220,8.0,10.0,48.0,0.03636363636363636,0.045454545454545456,0.21818181818181817
A8,low,2450,77.0,44.0,550.0,0.03142857142857143,0.017959183673469388,0.22448979591836735
A8,medium,2330,64.0,70.0,536.0,0.027467811158798282,0.030042918454935622,0.23004291845493563
A9,all,5000,105.0,106.0,1048.0,0.021,0.0212,0.2096
A9,high,220,5.0,6.0,44.0,0.022727272727272728,0.02727272727272727,0.2
A9,low,2450,52.0,50.0,516.0,0.02122448979591837,0.02040816326530612,0.21061224489795918
A9,medium,2330,48.0,50.0,488.0,0.020600858369098713,0.02145922746781116,0.2094420600858369
Debate,all,5000,174.0,62.0,1288.0,0.0348,0.0124,0.2576
Debate,high,220,8.0,6.0,51.0,0.03636363636363636,0.02727272727272727,0.2318181818181818
Debate,low,2450,85.0,21.0,613.0,0.03469387755102041,0.008571428571428572,0.25020408163265306
Debate,medium,2330,81.0,35.0,624.0,0.03476394849785408,0.015021459227467811,0.26781115879828327
Monolithic,all,5000,18.0,340.0,1053.0,0.0036,0.068,0.2106
Monolithic,high,220,1.0,24.0,51.0,0.004545454545454545,0.10909090909090909,0.2318181818181818
Monolithic,low,2450,8.0,150.0,517.0,0.0032653061224489797,0.061224489795918366,0.2110204081632653
Monolithic,medium,2330,9.0,166.0,485.0,0.0038626609442060085,0.07124463519313305,0.20815450643776823
Multi-Agent (A0 full),all,5000,349.0,30.0,1610.0,0.0698,0.006,0.322
Multi-Agent (A0 full),high,220,19.0,1.0,67.0,0.08636363636363636,0.004545454545454545,0.30454545454545456
Multi-Agent (A0 full),low,2450,197.0,18.0,804.0,0.08040816326530613,0.007346938775510204,0.32816326530612244
Multi-Agent (A0 full),medium,2330,133.0,11.0,739.0,0.05708154506437768,0.004721030042918455,0.31716738197424893
RAG-Monolithic,all,5000,199.0,82.0,1222.0,0.0398,0.0164,0.2444
RAG-Monolithic,high,220,9.0,4.0,47.0,0.04090909090909091,0.01818181818181818,0.21363636363636362
RAG-Monolithic,low,2450,97.0,33.0,595.0,0.03959183673469388,0.013469387755102041,0.24285714285714285
RAG-Monolithic,medium,2330,93.0,45.0,580.0,0.039914163090128754,0.019313304721030045,0.24892703862660945
Reflexion,all,5000,112.0,81.0,1134.0,0.0224,0.0162,0.2268
Reflexion,high,220,9.0,4.0,44.0,0.04090909090909091,0.01818181818181818,0.2
Reflexion,low,2450,50.0,30.0,547.0,0.02040816326530612,0.012244897959183673,0.223265306122449
Reflexion,medium,2330,53.0,47.0,543.0,0.022746781115879827,0.02017167381974249,0.2330472103004292
Sequential,all,5000,86.0,167.0,1012.0,0.0172,0.0334,0.2024
Sequential,high,220,4.0,5.0,36.0,0.01818181818181818,0.022727272727272728,0.16363636363636364
Sequential,low,2450,40.0,73.0,502.0,0.0163265306122449,0.02979591836734694,0.20489795918367346
Sequential,medium,2330,42.0,89.0,474.0,0.018025751072961373,0.03819742489270386,0.2034334763948498
